driver_kind,decl_id,decl_name,seat_role,holder_role,hidden_domino,action_n,mean_score,max_score,mean_q_delta,tail_low_mass_delta,shelf_high_mass_delta,conditioned_mass
downside,3,threes,bidder_partner,bidder,4-2,246,9.595447071684085,31.40961265563965,-7.961581039719466,0.1086391173284198,-0.10948859266861062,0.3001825396825398
downside,1,ones,bidder_partner,bidder,3-2,379,9.594686516671194,34.325401306152344,-7.999107211120525,0.10271117235085434,-0.11368446252806393,0.29479154102274163
downside,8,doubles-suit,bidder,bidder_partner,4-1,243,9.586430605546928,49.84868621826172,-7.800961794676604,0.10928825174751519,-0.13841879477440822,0.2940669642857142
downside,7,doubles,bidder_partner,bidder,5-4,20,9.580994653701783,29.075653076171875,-7.973057079315185,0.11054176390171051,-0.10050398036837578,0.2951197916666667
downside,2,twos,left_setter,right_setter,1-0,183,9.573097993930181,51.90177917480469,-7.991813424669329,0.10290921196043161,-0.11021511813198201,0.2575396988030185
downside,3,threes,right_setter,left_setter,4-0,207,9.57284522747648,34.20063018798828,-7.881161629865711,0.1108827296459422,-0.11656134374043792,0.3186268762939958
downside,3,threes,bidder,right_setter,3-0,93,9.571682563392065,26.38549041748047,-8.087856820834581,0.09399126558214106,-0.10862021055072546,0.3218239247311825
downside,8,doubles-suit,bidder,bidder_partner,4-2,51,9.570607793097402,55.403743743896484,-8.197558206670424,0.06615004809025456,-0.14230979365461013,0.31391013071895413
downside,8,doubles-suit,bidder,right_setter,6-1,47,9.568896402703954,28.639705657958984,-8.041895366729573,0.10657792538404465,-0.09224436289700184,0.3036994680851064
downside,1,ones,bidder,left_setter,6-6,317,9.563618245278999,43.95954895019531,-7.8706644175556555,0.11982480132451416,-0.09883082448624218,0.3638915051825147
downside,6,sixes,right_setter,bidder_partner,6-1,125,9.562757011413574,37.50116729736328,-7.998463337898254,0.10027537875482813,-0.1122039898186922,0.3416773333333335
downside,7,doubles,right_setter,bidder,4-4,490,9.558624919823238,29.83376121520996,-7.901150584950739,0.10736798623313044,-0.11620058148187035,0.4067496598639462
downside,8,doubles-suit,bidder,left_setter,6-1,35,9.558515807560513,29.328166961669922,-7.762742246900286,0.10052543293152537,-0.15810384367193495,0.4385982142857142
downside,8,doubles-suit,right_setter,bidder_partner,5-3,491,9.558280879999614,33.09876251220703,-7.620924904730073,0.1254259908966371,-0.13636106905923842,0.3090540139171755
downside,0,blanks,bidder_partner,right_setter,5-5,550,9.557684312516992,31.603111267089844,-7.7930058513988145,0.11959709585474973,-0.11360185668380424,0.357335768398269
downside,4,fours,left_setter,right_setter,6-3,116,9.556266560636718,23.936763763427734,-8.008425887288718,0.10135631338198436,-0.10685551346376024,0.31146932727832527
downside,7,doubles,bidder,right_setter,6-5,1140,9.553758198231982,31.85663604736328,-8.003722140245271,0.08266059901809632,-0.14460035210940986,0.3054791901629069
downside,8,doubles-suit,bidder,right_setter,1-1,15,9.551277510325114,31.525711059570312,-7.65028699239095,0.17067948058247567,-0.03883912662665049,0.2513638888888889
downside,9,no-trump,bidder,right_setter,3-2,70,9.543598685945783,34.56052780151367,-7.501961844308036,0.14889892659017018,-0.11052951543991055,0.32783809523809515
downside,3,threes,bidder_partner,bidder,6-1,281,9.541712126432788,25.33308219909668,-7.882096125296851,0.10789847209147721,-0.11611472781634893,0.31083259722928314
downside,1,ones,bidder_partner,right_setter,6-4,168,9.535613403433846,35.67416763305664,-7.883529333841233,0.09121924470431016,-0.14749999967725239,0.4098266369047617
downside,2,twos,right_setter,left_setter,6-0,231,9.522353783314362,28.981555938720703,-7.95972161788445,0.10315176380649048,-0.10622290047732266,0.3092970006184288
downside,8,doubles-suit,bidder_partner,right_setter,5-3,369,9.518566702762593,31.373323440551758,-7.600404377552229,0.1396335612690369,-0.10436534161252276,0.3745016574719317
downside,6,sixes,bidder_partner,right_setter,6-3,362,9.511929302913709,28.992443084716797,-7.886643699190235,0.10130215722080886,-0.12241348265978966,0.40521532984740855
downside,7,doubles,bidder_partner,left_setter,6-5,737,9.501454397975348,29.866628646850586,-7.8322255242631105,0.1018756229286379,-0.13002330342705268,0.3035014012728564
downside,0,blanks,bidder,left_setter,6-6,375,9.500023673375448,30.849220275878906,-7.804439456939697,0.11685888764301004,-0.10537777823760795,0.3534381468253965
downside,9,no-trump,bidder_partner,left_setter,6-6,782,9.499197601357384,46.751380920410156,-7.7376634440458645,0.12004528944670131,-0.11187068978763695,0.29928047740835495
downside,4,fours,left_setter,bidder,5-5,483,9.497525941264309,33.8031005859375,-7.880737428092561,0.10669044992688481,-0.10992691749957531,0.28515603741496576
downside,1,ones,right_setter,bidder_partner,3-1,174,9.496651900225672,44.05556869506836,-7.910076552423938,0.09891201787622882,-0.11945324224130861,0.2995337301587299
downside,0,blanks,left_setter,bidder,6-6,349,9.496035093222785,32.03285598754883,-8.223380196743504,0.08298021637788576,-0.0885568611473272,0.26331421408104766
downside,8,doubles-suit,bidder,left_setter,6-2,170,9.49593818082529,31.49874496459961,-7.756239279228098,0.1094377042944817,-0.12906437603866353,0.398969502801121
downside,2,twos,bidder,right_setter,6-5,83,9.489104880625943,34.11832046508789,-7.985571999147714,0.07050057732169124,-0.15970278864569334,0.2554175631095812
downside,5,fives,bidder,left_setter,6-4,297,9.48563118896099,33.41410446166992,-7.708327662663829,0.11285522456127235,-0.12947996504640485,0.3831937329645665
downside,9,no-trump,right_setter,bidder,5-3,150,9.477594530582428,37.24162292480469,-7.87252513885498,0.10378426527041787,-0.11342952569325765,0.3970570634920633
downside,8,doubles-suit,left_setter,bidder_partner,1-0,45,9.475448338190715,48.85567092895508,-7.297011502583822,0.1387637613962094,-0.15815984590186014,0.26464375000000007
downside,8,doubles-suit,bidder,right_setter,6-2,248,9.475225626460967,22.092731475830078,-7.802766419226123,0.1136860577333268,-0.10707276801364177,0.31486659946236545
downside,8,doubles-suit,right_setter,bidder_partner,4-3,272,9.475112118265208,32.1459846496582,-7.345081248265855,0.13614448423579553,-0.15240014602621907,0.3073114714635856
downside,7,doubles,left_setter,right_setter,4-0,119,9.4732900066536,24.128490447998047,-8.012635042687425,0.09465914299078639,-0.1028127184435099,0.3033426620648258
downside,6,sixes,bidder,bidder_partner,2-1,234,9.47324389932502,23.61960792541504,-7.852054131846143,0.11141505150540341,-0.10139315493373025,0.30469356684981685
