base_seed,decl_id,n_common_states,n_moves,n_robust,n_fragile,n_mixed,pct_robust,pct_fragile,mean_q_std,n_best_everywhere,best_robust,best_fragile,pct_best_robust,robust_by_depth
150,0,6848,8437,1290,1146,6001,15.289794950811899,13.583027142349177,6.3147783786874605,5702,873,793,15.310417397404418,0.2645946109816274
151,1,3189,4977,516,1112,3349,10.367691380349608,22.34277677315652,7.371502308407699,3400,368,626,10.823529411764705,0.17245270719762912
152,2,12723,17023,3160,3598,10265,18.56312048405099,21.13610996886565,6.99973548194389,9815,2023,1776,20.611309220580743,0.2547463750972151
153,3,4183,5170,748,1518,2904,14.468085106382977,29.361702127659573,7.83616058083125,3218,485,835,15.07147296457427,0.2912716114060727
154,4,17510,20117,3720,3688,12709,18.491822836407017,18.332753392652982,6.8443307194253,9713,1881,1686,19.365798414496034,0.2834209547597955
155,5,5342,7434,966,1777,4691,12.994350282485875,23.903685768092547,7.461443815224151,3833,665,622,17.349334724758673,0.277985123802044
156,6,7686,10940,1681,2708,6551,15.365630712979891,24.753199268738573,7.18031613283787,7489,1239,1677,16.544264921885432,0.309238451366823
157,7,4420,2905,1015,294,1596,34.93975903614458,10.120481927710843,5.180300467191126,2063,790,192,38.29374697043141,0.47514948062084755
158,8,4077,5005,1534,664,2807,30.649350649350648,13.266733266733265,5.6013772402967135,3895,1308,424,33.58151476251604,0.30698216906671194
159,9,13913,17967,3330,4667,9970,18.533978961429288,25.975399343240387,7.358397713320974,14602,2697,3876,18.470072592795507,0.2598837721772545
160,0,10562,17332,2807,4779,9746,16.195476575121162,27.57327486729749,7.729465443614093,8672,1556,2503,17.942804428044283,0.1899868295515868
161,1,3941,3852,762,742,2348,19.781931464174455,19.262720664589825,6.766591304098989,2193,449,420,20.47423620611035,0.3537727541642752
162,2,5965,7843,3917,480,3446,49.942623995919924,6.120107101874283,4.165522027899416,6969,3867,180,55.48859233749462,0.45025077425289267
163,3,7076,9442,2643,1055,5744,27.991950857869096,11.173480194873967,5.642812636868951,6823,2303,396,33.753480873516054,0.38632313100482424
164,4,4233,6099,1074,2306,2719,17.609444171175603,37.80947696343663,8.628543356881654,3635,790,1204,21.73314993122421,0.24107619091192206
165,5,6102,7096,2866,270,3960,40.38895152198422,3.804960541149944,4.5366251541325555,4148,1729,160,41.68273866923819,0.35598655184912076
166,6,9638,12285,2319,3548,6418,18.876678876678877,28.88074888074888,7.539571149121918,5769,1487,1273,25.77569769457445,0.27515238496460365
167,7,2952,3951,1450,283,2218,36.699569729182485,7.162743609212857,4.8669817787468785,2592,1087,61,41.93672839506173,0.3863720918943095
168,8,3664,4766,1261,447,3058,26.458245908518673,9.378934116659671,5.4535620519363945,4025,1102,352,27.378881987577643,0.3416149862774405
169,9,5646,8283,2417,1393,4473,29.180248702161055,16.817578172159845,6.097155967524557,5891,1924,809,32.65998981497199,0.30396048686992827
170,0,2079,2277,251,803,1223,11.023276240667546,35.26570048309179,8.744517904352168,1761,208,599,11.811470755252698,0.27118710110861627
171,1,7114,9418,1132,1180,7106,12.019537056699935,12.529199405393927,6.492271396394638,6399,858,684,13.408345053914674,0.28215232777824734
172,2,7999,10174,2608,1631,5935,25.633968940436407,16.031059563593473,6.2721876266997185,7062,2031,950,28.759558198810538,0.3511892533078974
173,3,3987,5723,1227,1206,3290,21.439804298444873,21.072863882579068,6.9397440513367625,2796,959,313,34.298998569384835,0.3327852265056175
174,4,7819,11031,1911,4124,4996,17.3239053576285,37.38554981416009,8.34515023013116,8302,1354,3189,16.309323054685617,0.24057385263266537
175,5,2272,3016,1130,266,1620,37.46684350132626,8.819628647214854,4.657837966441629,1898,807,138,42.518440463645945,0.33295811089815947
