base_seed,decl_id,V_mean,total_locked,total_lock_rate,lock_rate_3-2,locked_3-2,lock_rate_4-1,locked_4-1,lock_rate_5-0,locked_5-0,lock_rate_5-5,locked_5-5,lock_rate_6-4,locked_6-4,n_doubles,trump_count,n_6_high,n_5_high,count_points,n_count_dominoes,total_pips,has_trump_double,max_suit_length,suit_5_length,suit_6_length,suit_4_length,suit_3_length,holds_3-2,holds_4-1,holds_5-0,holds_5-5,holds_6-4
111,1,26.666666666666668,0,0.4666666666666667,0.6666666666666666,0,0.6666666666666666,0,0.0,0,0.6666666666666666,0,0.3333333333333333,0,4,2,0,1,5,1,29,1,2,1,0,1,2,1,0,0,0,0
112,2,36.666666666666664,2,0.4,1.0,1,0.0,0,0.0,0,1.0,1,0.0,0,3,2,2,1,15,2,45,0,2,1,2,1,2,1,0,0,1,0
113,3,11.333333333333334,0,0.13333333333333333,0.0,0,0.3333333333333333,0,0.0,0,0.3333333333333333,0,0.0,0,1,1,2,1,0,0,37,0,3,2,2,1,1,0,0,0,0,0
114,4,24.666666666666668,1,0.3333333333333333,0.3333333333333333,0,0.0,0,0.0,0,0.3333333333333333,0,1.0,1,2,2,3,0,10,1,41,0,3,1,3,2,2,0,0,0,0,1
115,5,34.0,1,0.5333333333333333,0.6666666666666666,0,0.3333333333333333,0,0.6666666666666666,0,1.0,1,0.0,0,2,4,2,3,10,1,53,1,4,4,2,1,2,0,0,0,1,0
116,6,12.666666666666666,0,0.5333333333333333,0.6666666666666666,0,0.6666666666666666,0,0.3333333333333333,0,0.3333333333333333,0,0.6666666666666666,0,3,2,2,0,20,3,40,0,3,0,2,3,1,1,1,0,0,1
117,7,28.0,3,0.6,1.0,1,0.0,0,1.0,1,1.0,1,0.0,0,3,0,1,3,20,3,50,0,3,3,1,1,2,1,0,1,1,0
118,8,-26.0,0,0.13333333333333333,0.0,0,0.0,0,0.0,0,0.3333333333333333,0,0.3333333333333333,0,0,0,2,0,0,0,31,0,3,0,2,1,2,0,0,0,0,0
119,9,12.0,0,0.5333333333333333,0.3333333333333333,0,0.6666666666666666,0,0.6666666666666666,0,0.6666666666666666,0,0.3333333333333333,0,1,0,0,3,10,2,38,0,4,3,0,4,0,0,1,1,0,0
120,0,41.333333333333336,1,0.39999999999999997,0.6666666666666666,0,0.0,0,1.0,1,0.3333333333333333,0,0.0,0,3,3,2,2,5,1,39,1,3,2,2,0,1,0,0,1,0,0
121,1,-0.6666666666666666,0,0.2,0.3333333333333333,0,0.3333333333333333,0,0.3333333333333333,0,0.0,0,0.0,0,0,2,2,1,10,2,33,0,4,1,2,0,2,1,0,1,0,0
122,2,14.666666666666666,0,0.13333333333333333,0.3333333333333333,0,0.0,0,0.0,0,0.3333333333333333,0,0.0,0,2,1,2,0,0,0,36,0,4,0,2,3,1,0,0,0,0,0
123,3,29.333333333333332,2,0.6,0.3333333333333333,0,1.0,1,0.3333333333333333,0,1.0,1,0.3333333333333333,0,3,3,0,1,15,2,39,1,3,1,0,2,3,0,1,0,1,0
124,4,-29.333333333333332,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2,1,1,3,10,1,45,0,4,4,1,1,1,0,0,0,1,0
125,5,36.0,1,0.6,0.6666666666666666,0,0.3333333333333333,0,0.6666666666666666,0,1.0,1,0.3333333333333333,0,2,3,2,3,10,1,46,1,3,3,2,1,0,0,0,0,1,0
