game_idx,seed,decl_id,decl_name,decision_idx,actor,seat_role,team,action_slot,action_domino_id,action_domino,hidden_domino_id,hidden_domino,relative_holder,absolute_holder,absolute_holder_role,world_count,conditioned_world_count,conditioned_mass,baseline_mean_q,conditioned_mean_q,mean_q_delta,baseline_tail_low_mass,conditioned_tail_low_mass,tail_low_mass_delta,baseline_shelf_high_mass,conditioned_shelf_high_mass,shelf_high_mass_delta,baseline_std,conditioned_std,std_delta,impact_score,downside_score,upside_score
0,9420,0,blanks,0,0,bidder,offense,6,25,6-4,27,6-6,2,3,right_setter,1000,316,0.316,2.753075361251831,-5.888024806976318,-8.64110016822815,0.19300000369548798,0.2594936788082123,0.0664936751127243,0.28600001335144043,0.10759493708610535,-0.17840507626533508,21.85765266418457,17.355754852294922,-4.501897811889648,11.090087682008743,10.198062300682068,0.0
0,9420,0,blanks,0,0,bidder,offense,6,25,6-4,21,6-0,1,2,bidder_partner,1000,312,0.312,2.753075361251831,10.682336807250977,7.9292614459991455,0.19300000369548798,0.06089743599295616,-0.13210256770253181,0.28600001335144043,0.40705129504203796,0.12105128169059753,21.85765266418457,21.79819679260254,-0.05945587158203125,10.460799939930439,0.0,9.80028710141778
0,9420,0,blanks,0,0,bidder,offense,6,25,6-4,20,5-5,0,1,left_setter,1000,302,0.302,2.753075361251831,-4.769585609436035,-7.522660970687866,0.19300000369548798,0.3476821184158325,0.15468211472034454,0.28600001335144043,0.18543046712875366,-0.10056954622268677,21.85765266418457,20.507884979248047,-1.3497676849365234,10.07517758011818,9.572329849004745,0.0
0,9420,0,blanks,0,0,bidder,offense,6,25,6-4,23,6-2,1,2,bidder_partner,1000,328,0.328,2.753075361251831,-4.1280388832092285,-6.88111424446106,0.19300000369548798,0.26829269528388977,0.0752926915884018,0.28600001335144043,0.14329268038272858,-0.14270733296871185,21.85765266418457,18.94236183166504,-2.9152908325195312,9.061114490032196,8.347577825188637,0.0
0,9420,0,blanks,0,0,bidder,offense,6,25,6-4,26,6-5,1,2,bidder_partner,1000,327,0.327,2.753075361251831,-4.24260950088501,-6.995684862136841,0.19300000369548798,0.2721712589263916,0.07917125523090363,0.28600001335144043,0.15902140736579895,-0.12697860598564148,21.85765266418457,20.212711334228516,-1.6449413299560547,9.057183474302292,8.422290444374084,0.0
0,9420,0,blanks,0,0,bidder,offense,6,25,6-4,24,6-3,1,2,bidder_partner,1000,301,0.301,2.753075361251831,-4.200188159942627,-6.953263521194458,0.19300000369548798,0.27242523431777954,0.07942523062229156,0.28600001335144043,0.16943521797657013,-0.1165647953748703,21.85765266418457,20.243432998657227,-1.6142196655273438,8.913163781166077,8.330339804291725,0.0
0,9420,0,blanks,1,1,left_setter,defense,1,10,4-0,21,6-0,1,3,right_setter,1000,360,0.36,-18.48149871826172,-5.954967498779297,12.526531219482422,0.5299999713897705,0.25555557012557983,-0.2744444012641907,0.06300000101327896,0.11944444477558136,0.0564444437623024,21.517894744873047,19.942296981811523,-1.5755977630615234,15.835419669747353,0.0,14.4631976634264
0,9420,0,blanks,1,1,left_setter,defense,1,10,4-0,15,5-0,1,3,right_setter,1000,329,0.329,-18.48149871826172,-7.193274021148682,11.288224697113037,0.5299999713897705,0.31003040075302124,-0.21996957063674927,0.06300000101327896,0.13373860716819763,0.07073860615491867,21.517894744873047,22.421873092651367,0.9039783477783203,14.195306465029716,0.0,13.09545861184597
0,9420,0,blanks,1,1,left_setter,defense,1,10,4-0,21,6-0,2,0,bidder,1000,240,0.24,-18.48149871826172,-27.8790283203125,-9.397529602050781,0.5299999713897705,0.7124999761581421,0.18250000476837158,0.06300000101327896,0.0,-0.06300000101327896,21.517894744873047,15.611806869506836,-5.906087875366211,11.852529659867287,11.537529654800892,0.0
0,9420,0,blanks,1,1,left_setter,defense,1,10,4-0,21,6-0,0,2,bidder_partner,1000,365,0.365,-18.48149871826172,-25.15301513671875,-6.671516418457031,0.5299999713897705,0.6931506991386414,0.16315072774887085,0.06300000101327896,0.04383561760187149,-0.01916438341140747,21.517894744873047,20.107263565063477,-1.4106311798095703,8.494667530059814,8.398845613002777,0.0
0,9420,0,blanks,1,1,left_setter,defense,1,10,4-0,3,2-0,1,3,right_setter,1000,245,0.245,-18.48149871826172,-12.280379295349121,6.201119422912598,0.5299999713897705,0.3959183692932129,-0.13408160209655762,0.06300000101327896,0.11428571492433548,0.05128571391105652,21.517894744873047,22.300233840942383,0.7823390960693359,8.054792582988739,0.0,7.384384572505951
