game_id,game_idx,trump_id,trump_name,move_idx,player,active_player,team,global_domino_idx,domino,mean,std,threshold_mass,make_mass,set_mass,lower_tail_mass,q10,q25,q50,q75,q90,iqr,cvar_low_10,branch_entropy,branch_peak_count,branch_peak_bins,shelf_gap,samples,converged,high_variance_close_mean,scalar_ev_lying_by_omission
sample_000_decl_0,0,0,blanks,8,3,3,defense,26,5-1,-5.867306232452393,20.39473138728174,0.6669999957084656,,0.667000028770417,0.33299999160226434,-32,-24,-7,7,27,31,-33.279999990947545,5.742183253923928,5,-32|-9|-7|4|32,64,1000,,False,False
sample_000_decl_0,0,0,blanks,9,0,0,offense,1,2-1,8.498466491699219,12.388995030912579,0.24500001966953278,0.24500001315027475,,0.007000000565312803,-9,-2,10,17,26,19,-12.620000232476741,5.530320311704935,8,-6|-3|5|7|10|12|16|21,27,1000,,False,False
sample_000_decl_0,0,0,blanks,10,1,1,defense,10,3-1,13.921599388122559,16.727735611010683,0.9980000257492065,,0.9980000213254243,0.0020000000949949026,-9,-2,13,32,33,34,-13.370000367052853,4.95704356317551,5,-9|-2|8|18|32,41,1000,,False,False
sample_000_decl_0,0,0,blanks,11,2,2,offense,16,4-1,-20.115591049194336,15.124185335272246,0.046000003814697266,0.04600000288337469,,0.6859999760054052,-32,-32,-28,-12,5,20,-32.84999985061586,4.441606716631202,4,-32|-28|-19|-5,27,1000,,False,False
sample_000_decl_0,0,0,blanks,12,3,3,defense,22,3-2,-5.1654744148254395,18.900803870811703,0.7250000238418579,,0.7250000301282853,0.2750000045634806,-30,-21,-9,9,26,30,-30.090000005438924,5.350163347678664,9,-30|-27|-17|-11|2|4|7|16|30,60,1000,,False,False
sample_000_decl_0,0,0,blanks,12,3,3,defense,24,4-3,-1.2916834354400635,20.910268993134316,0.7190000414848328,,0.7190000157570466,0.28099999530240893,-30,-20,0,17,30,37,-30.080000003799796,5.370603104149349,9,-30|-28|-17|-3|1|3|6|27|30,60,1000,,False,False
sample_000_decl_0,0,0,blanks,12,3,3,defense,25,4-4,2.6599314212799072,21.41088781305809,0.7790000438690186,,0.7790000112727284,0.2209999980404973,-30,-15,2,26,30,41,-30.080000003799796,5.285956056522691,8,-30|-28|-5|-3|1|6|28|30,60,1000,,True,True
sample_000_decl_0,0,0,blanks,12,3,3,defense,26,5-1,-2.712629795074463,20.398642461149528,0.7100000381469727,,0.7100000097416341,0.2900000335648656,-30,-22,-2,10,30,32,-30.080000003799796,5.040356949961893,8,-30|-14|-5|0|2|5|28|30,60,1000,,False,False
sample_000_decl_0,0,0,blanks,13,0,0,offense,0,2-0,16.77295684814453,14.954112754732392,0.5470000505447388,0.5470000287750736,,0.0,-6,2,27,30,30,28,-9.340000282041728,4.031772584712958,3,-9|2|30,39,1000,,True,False
sample_000_decl_0,0,0,blanks,13,0,0,offense,2,5-0,6.637537479400635,15.84957604066889,0.335999995470047,0.33599999360740185,,0.0,-16,-10,9,23,27,33,-16.160000007599592,5.206478852322924,8,-16|1|6|10|14|16|21|27,43,1000,,False,False
sample_000_decl_0,0,0,blanks,13,0,0,offense,3,5-3,7.530684947967529,12.373742241953826,0.24199999868869781,0.24200000637210906,,0.0,-5,0,3,16,28,16,-9.550000298768282,4.530626342407613,3,0|3|28,28,1000,,False,False
sample_000_decl_0,0,0,blanks,13,0,0,offense,4,5-5,-4.806957244873047,6.638502935295263,0.0,0.0,,0.004000000189989805,-14,-10,-5,1,4,11,-15.290000090375543,4.5548884714658575,5,-14|-10|1|3|5,19,1000,,False,False
sample_000_decl_0,0,0,blanks,14,1,1,defense,8,1-0,-7.630425930023193,21.980362190407245,0.5859999656677246,,0.5859999256208539,0.4140000380575657,-30,-30,-9,4,28,34,-30.02000000094995,3.6167083290203665,5,-30|-16|-5|3|28,58,1000,,False,False
sample_000_decl_0,0,0,blanks,14,1,1,defense,9,3-0,3.0239741802215576,23.688668496492554,0.6700000762939453,,0.6700000554556027,0.32999997725710273,-26,-24,5,30,30,54,-27.00999992340803,4.396556460785831,5,-26|-22|-13|6|30,56,1000,,False,False
sample_000_decl_0,0,0,blanks,14,1,1,defense,11,5-2,6.672112941741943,19.420489850294473,0.9149999618530273,,0.9149999669753015,0.08500000555068254,-16,-11,4,28,28,39,-23.69000051310286,4.27058245948321,6,-27|-15|-13|-11|-5|28,55,1000,,False,True
